,Temperature,L,R,A_M,Color,Spectral_Class,Type
0,3068,0.0024,0.17,16.12,Red,M,0
1,3042,0.0005,0.1542,16.6,Red,M,0
2,2600,0.0003,0.102,18.7,Red,M,0
3,2800,0.0002,0.16,16.65,Red,M,0
4,1939,0.000138,0.103,20.06,Red,M,0
5,2840,0.00065,0.11,16.98,Red,M,0
6,2637,0.00073,0.127,17.22,Red,M,0
7,2600,0.0004,0.096,17.4,Red,M,0
8,2650,0.00069,0.11,17.45,Red,M,0
9,2700,0.00018,0.13,16.05,Red,M,0
10,3600,0.0029,0.51,10.69,Red,M,1
11,3129,0.0122,0.3761,11.79,Red,M,1
12,3134,0.0004,0.196,13.21,Red,M,1
13,3628,0.0055,0.393,10.48,Red,M,1
14,2650,0.0006,0.14,11.782,Red,M,1
15,3340,0.0038,0.24,13.07,Red,M,1
16,2799,0.0018,0.16,14.79,Red,M,1
17,3692,0.00367,0.47,10.8,Red,M,1
18,3192,0.00362,0.1967,13.53,Red,M,1
19,3441,0.039,0.351,11.18,Red,M,1
20,25000,0.056,0.0084,10.58,Blue-white,B,2
21,7740,0.00049,0.01234,14.02,White,A,2
22,7220,0.00017,0.011,14.23,White,F,2
23,8500,0.0005,0.01,14.5,White,A,2
24,16500,0.013,0.014,11.89,Blue-white,B,2
25,12990,8.5e-05,0.00984,12.23,Yellow-white,F,2
26,8570,0.00081,0.0097,14.2,Blue-white,A,2
27,7700,0.00011,0.0128,14.47,Yellow-white,F,2
28,11790,0.00015,0.011,12.59,Yellow-white,F,2
29,7230,8e-05,0.013,14.08,Pale-yellow-orange,F,2
30,39000,204000.0,10.6,-4.7,Blue,O,3
31,30000,28840.0,6.3,-4.2,Blue-white,B,3
32,15276,1136.0,7.2,-1.97,Blue-white,B,3
33,9700,74.0,2.89,0.16,White,B,3
34,5800,0.81,0.9,5.05,Yellow-white,F,3
35,8052,8.7,1.8,2.42,White,A,3
36,6757,1.43,1.12,2.41,Yellow-white,F,3
37,6380,1.35,0.98,2.93,Yellow-white,F,3
38,5936,1.357,1.106,4.46,Yellow-white,F,3
39,5587,0.819,0.99,5.03,Yellow-white,F,3
40,3826,200000.0,19.0,-6.93,Red,M,4
41,3365,340000.0,23.0,-6.2,Red,M,4
42,3270,150000.0,88.0,-6.02,Red,M,4
43,3200,195000.0,17.0,-7.22,Red,M,4
44,3008,280000.0,25.0,-6.0,Red,M,4
45,3600,320000.0,29.0,-6.6,Red,M,4
46,3575,123000.0,45.0,-6.78,Red,M,4
47,3574,200000.0,89.0,-5.24,Red,M,4
48,3625,184000.0,84.0,-6.74,Red,M,4
49,33750,220000.0,26.0,-6.1,Blue,B,4
50,3490,270000.0,1520.0,-9.4,Red,M,5
51,3750,283000.0,1260.0,-7.63,Red,M,5
52,3834,272000.0,1183.0,-9.2,Red,M,5
53,3749,550000.0,1648.0,-8.05,Orange,M,5
54,3650,310000.0,1324.0,-7.79,Red,M,5
55,3450,263000.0,1349.0,-11.75,Red,M,5
56,3660,363000.0,1673.0,-11.92,Red,M,5
57,3450,174000.0,1284.0,-11.28,Red,M,5
58,3752,209000.0,955.0,-11.24,Red,M,5
59,3535,195000.0,1546.0,-11.36,Red,M,5
60,3341,0.0056,0.057,16.23,Red,M,0
61,3432,0.00067,0.19,16.94,Red,M,0
62,2983,0.00024,0.094,16.09,Red,M,0
63,2835,0.00034,0.0918,16.96,Red,M,0
64,2935,0.00014,0.116,18.89,Red,M,0
65,3295,0.00098,0.132,17.13,Red,M,0
66,2945,0.00032,0.093,18.34,Red,M,0
67,2817,0.00098,0.0911,16.45,Red,M,0
68,2774,0.00036,0.118,17.39,Red,M,0
69,2871,0.00072,0.12,19.43,Red,M,0
70,3345,0.021,0.273,12.3,Red,M,1
71,3607,0.022,0.38,10.12,Red,M,1
72,3304,0.0085,0.18,13.2,Red,M,1
73,3150,0.0088,0.35,11.94,Red,M,1
74,3550,0.004,0.291,10.89,Red,M,1
75,3180,0.001,0.35,11.76,Red,M,1
76,2890,0.0034,0.24,13.46,Red,M,1
77,3342,0.0015,0.307,11.87,Red,M,1
78,2621,0.0006,0.098,12.81,Red,M,1
79,3158,0.00135,0.161,13.98,Red,M,1
80,7100,0.00029,0.012,14.09,Yellow-white,F,2
81,10574,0.00014,0.0092,12.02,White,F,2
82,8930,0.00056,0.0095,13.78,White,A,2
83,17200,0.00098,0.015,12.45,Blue-white,B,2
84,14100,0.00067,0.0089,12.17,Blue-white,B,2
85,9675,0.00045,0.0109,13.98,Blue-white,A,2
86,12010,0.00078,0.0092,12.13,Blue-white,B,2
87,10980,0.00074,0.0087,11.19,Blue-white,B,2
88,13720,0.00018,0.00892,12.97,White,F,2
89,19860,0.0011,0.0131,11.34,Blue,B,2
90,5300,0.59,0.91,5.49,Yellow-white,F,3
91,4526,0.153,0.865,6.506,Yellow,K,3
92,4077,0.085,0.795,6.228,Yellow,K,3
93,4980,0.357,1.13,4.78,Yellow,K,3
94,9030,45.0,2.63,1.45,Blue-white,A,3
95,11250,672.0,6.98,-2.3,Blue-white,A,3
96,5112,0.63,0.876,4.68,Orange-red,K,3
97,7720,7.92,1.34,2.44,Yellow-white,F,3
98,12098,689.0,7.01,0.02,Blue-white,A,3
99,36108,198000.0,10.2,-4.4,Blue,O,3
100,33300,240000.0,12.0,-6.5,Blue,B,4
101,40000,813000.0,14.0,-6.23,Blue,O,4
102,23000,127000.0,36.0,-5.76,Blue,O,4
103,17120,235000.0,83.0,-6.89,Blue,O,4
104,11096,112000.0,12.0,-5.91,Blue,O,4
105,14245,231000.0,42.0,-6.12,Blue,O,4
106,24630,363000.0,63.0,-5.83,Blue,O,4
107,12893,184000.0,36.0,-6.34,Blue,O,4
108,24345,142000.0,57.0,-6.24,Blue,O,4
109,33421,352000.0,67.0,-5.79,Blue,O,4
110,3459,100000.0,1289.0,-10.7,Red,M,5
111,3605,126000.0,1124.0,-10.81,Red,M,5
112,3615,200000.0,1635.0,-11.33,Red,M,5
113,3399,117000.0,1486.0,-10.92,Red,M,5
114,3610,132000.0,1522.0,-10.86,Red,M,5
115,3553,145000.0,1324.0,-11.03,Red,M,5
116,4015,282000.0,1534.0,-11.39,Red,K,5
117,3625,74000.0,876.0,-10.25,Red,M,5
118,6850,229000.0,1467.0,-10.07,Red,G,5
119,3780,200000.0,1324.0,-10.7,Red,M,5
120,3323,0.00043,0.0912,17.16,Red,M,0
121,3531,0.00093,0.0976,19.94,Red,M,0
122,3218,0.00054,0.11,20.02,Red,M,0
123,3146,0.00015,0.0932,16.92,Red,M,0
124,3511,0.00064,0.109,17.12,Red,M,0
125,3225,0.00076,0.121,19.63,Red,M,0
126,2935,0.00087,0.0932,16.88,Red,M,0
127,2861,0.00019,0.0899,16.71,Red,M,0
128,2856,0.000896,0.0782,19.56,Red,M,0
129,2731,0.000437,0.0856,18.09,Red,M,0
130,3095,0.00019,0.492,10.87,Red,M,1
131,3607,0.00023,0.38,10.34,Red,M,1
132,3100,0.008,0.31,11.17,Red,M,1
133,2989,0.0087,0.34,13.12,Red,M,1
134,3542,0.0009,0.62,14.23,Red,M,1
135,3243,0.0023,0.73,14.75,Red,M,1
136,3091,0.0081,0.24,11.43,Red,M,1
137,3598,0.0011,0.56,14.26,Red,M,1
138,3324,0.0034,0.34,12.23,Red,M,1
139,3541,0.0013,0.256,14.33,Red,M,1
140,13420,0.00059,0.00981,13.67,Blue-white,B,2
141,21020,0.0015,0.0112,11.52,Blue,B,2
142,18290,0.0013,0.00934,12.78,Blue,B,2
143,14520,0.00082,0.00972,11.92,Blue-white,B,2
144,11900,0.00067,0.00898,11.38,Blue-white,B,2
145,8924,0.00028,0.00879,14.87,Blue-white,A,2
146,12912,0.00071,0.00945,12.83,Blue-white,B,2
147,14732,0.00011,0.00892,12.89,White,F,2
148,7723,0.00014,0.00878,14.81,White,A,2
149,12984,0.00088,0.00996,11.23,Blue-white,B,2
150,29560,188000.0,6.02,-4.01,Blue-white,B,3
151,8945,38.0,2.487,0.12,Blue-white,A,3
152,14060,1092.0,5.745,-2.04,Blue-white,A,3
153,16390,1278.0,5.68,-3.32,Blue-white,B,3
154,25070,14500.0,5.92,-3.98,Blue-white,B,3
155,28700,16790.0,6.4,-4.09,Blue-white,B,3
156,26140,14520.0,5.49,-3.8,Blue-white,B,3
157,20120,4720.0,6.78,-3.4,Blue-white,B,3
158,13023,998.0,6.21,-1.38,Blue-white,A,3
159,37800,202900.0,6.86,-4.56,Blue,O,3
160,25390,223000.0,57.0,-5.92,Blue,O,4
161,11567,251000.0,36.0,-6.245,Blue,O,4
162,12675,452000.0,83.0,-5.62,Blue,O,4
163,5752,245000.0,97.0,-6.63,Blue,O,4
164,8927,239000.0,35.0,-7.34,Blue,O,4
165,7282,131000.0,24.0,-7.22,Blue,O,4
166,19923,152000.0,73.0,-5.69,Blue,O,4
167,26373,198000.0,39.0,-5.83,Blue,O,4
168,17383,342900.0,30.0,-6.09,Blue,O,4
169,9373,424520.0,24.0,-5.99,Blue,O,4
170,3570,320000.0,1480.0,-7.58,Red,M,5
171,3500,138000.0,1420.0,-8.18,Red,M,5
172,4287,630000.0,1315.0,-9.2,Orange,K,5
173,26000,316000.0,1679.0,-9.1,Blue,B,5
174,3600,240000.0,1190.0,-7.89,Red,M,5
175,3614,145000.0,1553.0,-7.71,Red,M,5
176,18000,200000.0,1045.0,-8.3,Blue,O,5
177,11000,170000.0,1779.0,-9.9,Blue-white,B,5
178,12100,120000.0,708.9,-7.84,Blue-white,B,5
179,24490,248490.0,1134.5,-8.24,Blue-white,B,5
180,2831,0.000231,0.0915,16.21,Red,M,0
181,2914,0.000631,0.116,18.39,Red,M,0
182,3419,0.000245,0.126,17.56,Red,M,0
183,3218,0.000452,0.0987,17.34,Red,M,0
184,3453,0.000621,0.0773,17.08,Red,M,0
185,2889,0.000352,0.0973,16.93,Red,M,0
186,2968,0.000461,0.119,17.45,Red,M,0
187,3484,0.000551,0.0998,16.67,Red,M,0
188,2778,0.000849,0.112,19.45,Red,M,0
189,3523,0.000957,0.129,16.35,Red,M,0
190,3462,0.0053,0.148,11.47,Red,M,1
191,3257,0.0024,0.46,10.73,Red,M,1
192,2994,0.0072,0.28,13.45,Red,M,1
193,3212,0.0016,0.378,12.854,Red,M,1
194,3523,0.0054,0.319,12.43,Red,M,1
195,3598,0.0027,0.67,13.667,Red,M,1
196,3142,0.00132,0.258,14.12,Red,M,1
197,3496,0.00125,0.336,14.94,Red,M,1
198,3324,0.0065,0.471,12.78,Red,M,1
199,3463,0.0027,0.675,14.776,Red,M,1
200,16790,0.0014,0.0121,12.87,Blue,B,2
201,15680,0.00122,0.0114,11.92,Blue,B,2
202,14982,0.00118,0.0113,12.23,Blue,B,2
203,13340,0.00109,0.0116,12.9,Blue,B,2
204,18340,0.00134,0.0124,11.22,Blue,B,2
205,19920,0.00156,0.0142,11.34,Blue,B,2
206,24020,0.00159,0.0127,10.55,Blue,B,2
207,23092,0.00132,0.0104,10.18,Blue,B,2
208,17920,0.00111,0.0106,11.66,Blue,B,2
209,19360,0.00125,0.00998,11.62,Blue,B,2
210,22350,12450.0,6.36,-3.67,Blue-white,B,3
211,10012,552.0,5.856,0.013,Blue-white,A,3
212,13089,788.0,5.992,-0.12,Blue-white,A,3
213,22012,6748.0,6.64,-2.55,Blue-white,B,3
214,34190,198200.0,6.39,-4.57,Blue,O,3
215,32460,173800.0,6.237,-4.36,Blue,O,3
216,9320,29.0,1.91,1.236,Blue-white,A,3
217,19400,10920.0,6.03,-3.08,Blue-white,B,3
218,17140,883.0,5.653,-2.64,Blue-white,B,3
219,8250,9.25,1.93,-0.98,Yellow-white,F,3
220,23678,244290.0,35.0,-6.27,Blue,O,4
221,12749,332520.0,76.0,-7.02,Blue,O,4
222,9383,342940.0,98.0,-6.98,Blue,O,4
223,23440,537430.0,81.0,-5.975,Blue,O,4
224,16787,246730.0,62.0,-6.35,Blue,O,4
225,18734,224780.0,46.0,-7.45,Blue,O,4
226,9892,593900.0,80.0,-7.262,Blue,O,4
227,10930,783930.0,25.0,-6.224,Blue,O,4
228,23095,347820.0,86.0,-5.905,Blue,O,4
229,21738,748890.0,92.0,-7.346,Blue,O,4
230,24145,382993.0,1494.0,-8.84,Blue-white,B,5
231,38234,272830.0,1356.0,-9.29,Blue,O,5
232,32489,648430.0,1948.5,-10.84,Blue,O,5
233,27739,849420.0,1252.0,-7.59,Blue-white,B,5
234,21904,748490.0,1130.0,-7.67,Blue-white,B,5
235,38940,374830.0,1356.0,-9.93,Blue,O,5
236,30839,834042.0,1194.0,-10.63,Blue,O,5
237,8829,537493.0,1423.0,-10.73,White,A,5
238,9235,404940.0,1112.0,-11.23,White,A,5
239,37882,294903.0,1783.0,-7.8,Blue,O,5
